Numero Ocorrencia,Data,,,Hora,Uf,,Br,Km,Latitude,Longitude,Natureza Enquadramento,,,Municipio,Envolvimento,Qtd Assalto a Caminhão,Qtde Envolvido,Qtde Veiculo
C0164937170111193700,11/1/2017,"Quarta-feira, 11 de Janeiro de 2017",2017-01-11,18,RJ,RIO DE JANEIRO,116 ,278,-22.513699,-44.210499,461,ROUBO A CAMINHÃO,ROUBO,BARRA MANSA,Vítima,1,1,1
C0164937170329042200,29/3/2017,"Quarta-feira, 29 de Março de 2017",2017-03-29,3,RJ,RIO DE JANEIRO,116 ,276,-22.526799,-44.197699,461,ROUBO A CAMINHÃO,ROUBO,BARRA MANSA,Vítima,1,2,1
C0164937170417221400,17/4/2017,"Segunda-feira, 17 de Abril de 2017",2017-04-17,20,RJ,RIO DE JANEIRO,116 ,224,-22.652599,-43.822699,461,ROUBO A CAMINHÃO,ROUBO,PIRAI,Vítima,1,1,1
C0167317170221064000,21/2/2017,"Terça-feira, 21 de Fevereiro de 2017",2017-02-21,6,AL,ALAGOAS,423 ,25,-9.191299,-37.507899,461,ROUBO A CAMINHÃO,ROUBO,CANAPI,Vítima,1,1,1
C1030251170131135400,31/1/2017,"Terça-feira, 31 de Janeiro de 2017",2017-01-31,11,MA,MARANHÃO,010 ,290,-5.195199,-47.520199,461,ROUBO A CAMINHÃO,ROUBO,SAO FRANCISCO DO BREJAO,Vítima,1,1,1
C1030251170503073600,3/5/2017,"Quarta-feira, 3 de Maio de 2017",2017-05-03,1,MA,MARANHÃO,010 ,146,-6.442499,-47.396999,461,ROUBO A CAMINHÃO,ROUBO,PORTO FRANCO,Vítima,1,1,3
C1068456170411054900,11/4/2017,"Terça-feira, 11 de Abril de 2017",2017-04-11,3,SP,SÃO PAULO,116 ,58,-22.780899,-45.146999,461,ROUBO A CAMINHÃO,ROUBO,GUARATINGUETA,Vítima,1,1,0
C1068730170115100500,15/1/2017,"Domingo, 15 de Janeiro de 2017",2017-01-15,10,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,CAMPOS DOS GOYTACAZES,Vítima,1,1,1
C1069314170418073700,18/4/2017,"Terça-feira, 18 de Abril de 2017",2017-04-18,6,PE,PERNAMBUCO,232 ,64,-8.162299,-35.441899,461,ROUBO A CAMINHÃO,ROUBO,POMBOS,Vítima,1,1,1
C1069327170104232000,4/1/2017,"Quarta-feira, 4 de Janeiro de 2017",2017-01-04,12,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,ALAGOINHA,Vítima,1,2,1
C1069327170124074100,24/1/2017,"Terça-feira, 24 de Janeiro de 2017",2017-01-24,7,PE,PERNAMBUCO,232 ,163,-8.333199,-36.277499,461,ROUBO A CAMINHÃO,ROUBO,TACAIMBO,Envolvido,1,1,1
C1069560170614145700,13/6/2017,"Terça-feira, 13 de Junho de 2017",2017-06-13,20,PE,PERNAMBUCO,232 ,26,-8.113799,-35.117599,461,ROUBO A CAMINHÃO,ROUBO,MORENO,Vítima,1,3,1
